Clase de poblaci?n;Total Nacional;Comunidades y Ciudades Aut?nomas;Frecuencia de uso;Total
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;11 Extremadura;Total;720.793
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;11 Extremadura;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;11 Extremadura;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;11 Extremadura;Han utilizado Internet en los ?ltimos 3 meses;99,9
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;11 Extremadura;Han utilizado internet semanalmente (al menos una vez a la semana);98,6
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;11 Extremadura;Han usado Internet diariamente (al menos 5 d?as a la semana);90
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;11 Extremadura;Han utilizado internet varias veces al d?a;87,3
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;12 Galicia;Total;1.817.176
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;12 Galicia;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;12 Galicia;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;12 Galicia;Han utilizado Internet en los ?ltimos 3 meses;99,8
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;12 Galicia;Han utilizado internet semanalmente (al menos una vez a la semana);97,3
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;12 Galicia;Han usado Internet diariamente (al menos 5 d?as a la semana);89
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;12 Galicia;Han utilizado internet varias veces al d?a;86,5
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;13 Madrid, Comunidad de;Total;4.939.273
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;13 Madrid, Comunidad de;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;13 Madrid, Comunidad de;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;13 Madrid, Comunidad de;Han utilizado Internet en los ?ltimos 3 meses;99,7
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;13 Madrid, Comunidad de;Han utilizado internet semanalmente (al menos una vez a la semana);98,6
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;13 Madrid, Comunidad de;Han usado Internet diariamente (al menos 5 d?as a la semana);93
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;13 Madrid, Comunidad de;Han utilizado internet varias veces al d?a;90,1
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;14 Murcia, Regi?n de;Total;1.076.399
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;14 Murcia, Regi?n de;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;14 Murcia, Regi?n de;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;14 Murcia, Regi?n de;Han utilizado Internet en los ?ltimos 3 meses;98,8
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;14 Murcia, Regi?n de;Han utilizado internet semanalmente (al menos una vez a la semana);97,6
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;14 Murcia, Regi?n de;Han usado Internet diariamente (al menos 5 d?as a la semana);91
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;14 Murcia, Regi?n de;Han utilizado internet varias veces al d?a;84,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;15 Navarra, Comunidad Foral de;Total;462.648
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;15 Navarra, Comunidad Foral de;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;15 Navarra, Comunidad Foral de;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;15 Navarra, Comunidad Foral de;Han utilizado Internet en los ?ltimos 3 meses;99,7
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;15 Navarra, Comunidad Foral de;Han utilizado internet semanalmente (al menos una vez a la semana);98,2
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;15 Navarra, Comunidad Foral de;Han usado Internet diariamente (al menos 5 d?as a la semana);92
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;15 Navarra, Comunidad Foral de;Han utilizado internet varias veces al d?a;87,3
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;16 Pa?s Vasco;Total;1.529.599
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;16 Pa?s Vasco;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;16 Pa?s Vasco;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;16 Pa?s Vasco;Han utilizado Internet en los ?ltimos 3 meses;99,6
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;16 Pa?s Vasco;Han utilizado internet semanalmente (al menos una vez a la semana);98,3
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;16 Pa?s Vasco;Han usado Internet diariamente (al menos 5 d?as a la semana);92
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;16 Pa?s Vasco;Han utilizado internet varias veces al d?a;88,5
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;17 Rioja, La;Total;219.048
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;17 Rioja, La;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;17 Rioja, La;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;17 Rioja, La;Han utilizado Internet en los ?ltimos 3 meses;99,1
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;17 Rioja, La;Han utilizado internet semanalmente (al menos una vez a la semana);96,2
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;17 Rioja, La;Han usado Internet diariamente (al menos 5 d?as a la semana);90
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;17 Rioja, La;Han utilizado internet varias veces al d?a;85,7
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;18 Ceuta;Total;55.768
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;18 Ceuta;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;18 Ceuta;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;18 Ceuta;Han utilizado Internet en los ?ltimos 3 meses;97,9
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;18 Ceuta;Han utilizado internet semanalmente (al menos una vez a la semana);96,9
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;18 Ceuta;Han usado Internet diariamente (al menos 5 d?as a la semana);92
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;18 Ceuta;Han utilizado internet varias veces al d?a;90,3
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;19 Melilla;Total;60.588
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;19 Melilla;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;19 Melilla;Han utilizado Internet en los ?ltimos 12 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;19 Melilla;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;19 Melilla;Han utilizado internet semanalmente (al menos una vez a la semana);100,0
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;19 Melilla;Han usado Internet diariamente (al menos 5 d?as a la semana);93
Usuarios de Internet en los ?ltimos 12 meses;Total Nacional;19 Melilla;Han utilizado internet varias veces al d?a;92,6
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;;Total;33.481.950
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;;Han utilizado internet semanalmente (al menos una vez a la semana);98,4
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;;Han usado Internet diariamente (al menos 5 d?as a la semana);92
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;;Han utilizado internet varias veces al d?a;89,1
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;01 Andaluc?a;Total;5.966.316
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;01 Andaluc?a;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;01 Andaluc?a;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;01 Andaluc?a;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;01 Andaluc?a;Han utilizado internet semanalmente (al menos una vez a la semana);98,2
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;01 Andaluc?a;Han usado Internet diariamente (al menos 5 d?as a la semana);93
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;01 Andaluc?a;Han utilizado internet varias veces al d?a;90,8
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;02 Arag?n;Total;904.834
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;02 Arag?n;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;02 Arag?n;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;02 Arag?n;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;02 Arag?n;Han utilizado internet semanalmente (al menos una vez a la semana);98,2
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;02 Arag?n;Han usado Internet diariamente (al menos 5 d?as a la semana);93
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;02 Arag?n;Han utilizado internet varias veces al d?a;90,1
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;03 Asturias, Principado de;Total;694.173
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;03 Asturias, Principado de;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;03 Asturias, Principado de;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;03 Asturias, Principado de;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;03 Asturias, Principado de;Han utilizado internet semanalmente (al menos una vez a la semana);98,2
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;03 Asturias, Principado de;Han usado Internet diariamente (al menos 5 d?as a la semana);91
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;03 Asturias, Principado de;Han utilizado internet varias veces al d?a;86,2
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;04 Balears, Illes;Total;916.231
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;04 Balears, Illes;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;04 Balears, Illes;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;04 Balears, Illes;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;04 Balears, Illes;Han utilizado internet semanalmente (al menos una vez a la semana);99,2
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;04 Balears, Illes;Han usado Internet diariamente (al menos 5 d?as a la semana);94
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;04 Balears, Illes;Han utilizado internet varias veces al d?a;89,2
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;05 Canarias;Total;1.670.343
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;05 Canarias;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;05 Canarias;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;05 Canarias;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;05 Canarias;Han utilizado internet semanalmente (al menos una vez a la semana);97,9
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;05 Canarias;Han usado Internet diariamente (al menos 5 d?as a la semana);90
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;05 Canarias;Han utilizado internet varias veces al d?a;87,8
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;06 Cantabria;Total;404.874
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;06 Cantabria;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;06 Cantabria;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;06 Cantabria;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;06 Cantabria;Han utilizado internet semanalmente (al menos una vez a la semana);98,8
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;06 Cantabria;Han usado Internet diariamente (al menos 5 d?as a la semana);91
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;06 Cantabria;Han utilizado internet varias veces al d?a;88,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;07 Castilla y Le?n;Total;1.606.456
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;07 Castilla y Le?n;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;07 Castilla y Le?n;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;07 Castilla y Le?n;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;07 Castilla y Le?n;Han utilizado internet semanalmente (al menos una vez a la semana);98,2
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;07 Castilla y Le?n;Han usado Internet diariamente (al menos 5 d?as a la semana);91
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;07 Castilla y Le?n;Han utilizado internet varias veces al d?a;87,2
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;08 Castilla - La Mancha;Total;1.407.551
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;08 Castilla - La Mancha;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;08 Castilla - La Mancha;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;08 Castilla - La Mancha;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;08 Castilla - La Mancha;Han utilizado internet semanalmente (al menos una vez a la semana);99,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;08 Castilla - La Mancha;Han usado Internet diariamente (al menos 5 d?as a la semana);91
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;08 Castilla - La Mancha;Han utilizado internet varias veces al d?a;86,6
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;09 Catalu?a;Total;5.438.841
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;09 Catalu?a;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;09 Catalu?a;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;09 Catalu?a;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;09 Catalu?a;Han utilizado internet semanalmente (al menos una vez a la semana);97,9
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;09 Catalu?a;Han usado Internet diariamente (al menos 5 d?as a la semana);92
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;09 Catalu?a;Han utilizado internet varias veces al d?a;89,9
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;10 Comunitat Valenciana;Total;3.636.663
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;10 Comunitat Valenciana;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;10 Comunitat Valenciana;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;10 Comunitat Valenciana;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;10 Comunitat Valenciana;Han utilizado internet semanalmente (al menos una vez a la semana);98,5
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;10 Comunitat Valenciana;Han usado Internet diariamente (al menos 5 d?as a la semana);93
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;10 Comunitat Valenciana;Han utilizado internet varias veces al d?a;89,6
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;11 Extremadura;Total;719.776
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;11 Extremadura;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;11 Extremadura;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;11 Extremadura;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;11 Extremadura;Han utilizado internet semanalmente (al menos una vez a la semana);98,8
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;11 Extremadura;Han usado Internet diariamente (al menos 5 d?as a la semana);90
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;11 Extremadura;Han utilizado internet varias veces al d?a;87,4
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;12 Galicia;Total;1.812.904
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;12 Galicia;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;12 Galicia;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;12 Galicia;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;12 Galicia;Han utilizado internet semanalmente (al menos una vez a la semana);97,5
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;12 Galicia;Han usado Internet diariamente (al menos 5 d?as a la semana);89
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;12 Galicia;Han utilizado internet varias veces al d?a;86,7
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;13 Madrid, Comunidad de;Total;4.922.781
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;13 Madrid, Comunidad de;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;13 Madrid, Comunidad de;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;13 Madrid, Comunidad de;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;13 Madrid, Comunidad de;Han utilizado internet semanalmente (al menos una vez a la semana);98,9
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;13 Madrid, Comunidad de;Han usado Internet diariamente (al menos 5 d?as a la semana);93
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;13 Madrid, Comunidad de;Han utilizado internet varias veces al d?a;90,4
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;14 Murcia, Regi?n de;Total;1.063.863
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;14 Murcia, Regi?n de;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;14 Murcia, Regi?n de;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;14 Murcia, Regi?n de;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;14 Murcia, Regi?n de;Han utilizado internet semanalmente (al menos una vez a la semana);98,7
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;14 Murcia, Regi?n de;Han usado Internet diariamente (al menos 5 d?as a la semana);92
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;14 Murcia, Regi?n de;Han utilizado internet varias veces al d?a;85,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;15 Navarra, Comunidad Foral de;Total;461.345
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;15 Navarra, Comunidad Foral de;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;15 Navarra, Comunidad Foral de;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;15 Navarra, Comunidad Foral de;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;15 Navarra, Comunidad Foral de;Han utilizado internet semanalmente (al menos una vez a la semana);98,5
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;15 Navarra, Comunidad Foral de;Han usado Internet diariamente (al menos 5 d?as a la semana);93
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;15 Navarra, Comunidad Foral de;Han utilizado internet varias veces al d?a;87,6
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;16 Pa?s Vasco;Total;1.522.822
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;16 Pa?s Vasco;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;16 Pa?s Vasco;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;16 Pa?s Vasco;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;16 Pa?s Vasco;Han utilizado internet semanalmente (al menos una vez a la semana);98,8
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;16 Pa?s Vasco;Han usado Internet diariamente (al menos 5 d?as a la semana);93
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;16 Pa?s Vasco;Han utilizado internet varias veces al d?a;88,9
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;17 Rioja, La;Total;217.015
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;17 Rioja, La;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;17 Rioja, La;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;17 Rioja, La;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;17 Rioja, La;Han utilizado internet semanalmente (al menos una vez a la semana);97,1
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;17 Rioja, La;Han usado Internet diariamente (al menos 5 d?as a la semana);90
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;17 Rioja, La;Han utilizado internet varias veces al d?a;86,5
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;18 Ceuta;Total;54.576
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;18 Ceuta;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;18 Ceuta;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;18 Ceuta;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;18 Ceuta;Han utilizado internet semanalmente (al menos una vez a la semana);99,1
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;18 Ceuta;Han usado Internet diariamente (al menos 5 d?as a la semana);94
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;18 Ceuta;Han utilizado internet varias veces al d?a;92,3
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;19 Melilla;Total;60.588
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;19 Melilla;Han utilizado Internet alguna vez;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;19 Melilla;Han utilizado Internet en los ?ltimos 12 meses;..
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;19 Melilla;Han utilizado Internet en los ?ltimos 3 meses;100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;19 Melilla;Han utilizado internet semanalmente (al menos una vez a la semana);100,0
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;19 Melilla;Han usado Internet diariamente (al menos 5 d?as a la semana);93
Usuarios de Internet en los ?ltimos 3 meses;Total Nacional;19 Melilla;Han utilizado internet varias veces al d?a;92,6
